method,function_name,target,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
GA_FIXED,string_category,long_palindrome,0.0,0.0,0.0,8080.0,8080.0,0.03143130970032262,0.0314320420147851,1.0,30
RANDOM,string_category,long_palindrome,3.3333333333333335,3.3333333333333335,0.0,990.0,1000.0,0.00180440555947517,0.0018119164742529,0.9666666666666667,30
GA_ADAPTIVE,string_category,long_palindrome,23.333333333333332,23.333333333333332,8.466666666666667,6890.666666666667,8080.0,0.028959363861940757,0.03374120802618555,0.7666666666666667,30
HILL_CLIMBING,string_category,long_palindrome,26.666666666666668,26.666666666666668,1426.5333333333333,7352.866666666667,8081.0,0.010992084688041309,0.01199016650207335,0.7333333333333333,30
RANDOM,sign_type,zero,30.0,30.0,0.0,852.5333333333333,1000.0,0.0005124277008386505,0.00059037498431275,1.7333333333333334,30
RANDOM,number_kind,zero,33.33333333333333,33.33333333333333,0.0,915.2,1000.0,0.0006513111720171534,0.0006851669168099,1.2666666666666666,30
