method,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,75.44444444444444,75.44444444444444,0.0,289.77777777777777,9.5,0.0003071043695995622,1.3499986380338669e-05,31.60103418728561,900
HILL_CLIMBING,90.0,90.0,221.49777777777777,954.4188888888889,18.0,0.0016971932482232875,4.3062493205070496e-05,0.18222222222222223,900
GA_FIXED,91.88888888888889,91.88888888888889,4.99,1116.8,80.0,0.004953458127177599,0.00013318745186545,0.0811111111111111,900
GA_ADAPTIVE,91.77777777777779,91.77777777777779,4.903333333333333,1095.111111111111,80.0,0.005188531795025046,0.00013502046931530002,0.08222222222222222,900
