method,function_name,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,bmi_category,50.66666666666667,50.66666666666667,0.0,613.8266666666667,928.5,0.00040146222648517783,0.00057047948939725,2.404292706597436,150
RANDOM,number_kind,76.66666666666667,76.66666666666667,0.0,285.5111111111111,3.0,0.0001604642537939713,3.0834926292300224e-06,0.34444444444444444,90
RANDOM,password_strength,86.66666666666667,86.66666666666667,0.0,202.15,3.0,0.0004554902426510292,9.20856837183237e-06,0.13333333333333333,120
RANDOM,shipping_discount,80.0,80.0,0.0,221.34,19.0,0.00019309779396279274,2.1041487343609333e-05,6.010724594416922,150
RANDOM,sign_type,70.0,70.0,0.0,319.3222222222222,4.0,0.0001732925535179487,3.9790174923837185e-06,0.8333333333333334,90
RANDOM,string_category,80.0,80.0,0.0,205.86,6.0,0.0003766869520768403,1.3541488442569971e-05,0.2,150
RANDOM,username_category,83.33333333333334,83.33333333333334,0.0,172.35555555555555,5.0,0.00043468131916596576,1.2561969924718142e-05,0.16666666666666666,180
HILL_CLIMBING,bmi_category,78.66666666666666,78.66666666666666,1484.1333333333334,2287.806666666667,479.0,0.0026312403148039797,0.0006532710394821499,0.0016397739202940807,150
HILL_CLIMBING,number_kind,100.0,100.0,28.18888888888889,29.18888888888889,2.0,3.5278241719214154e-05,4.479486960917711e-06,0.0,90
HILL_CLIMBING,password_strength,98.33333333333333,98.33333333333333,468.09166666666664,603.7583333333333,13.5,0.0012009864731225978,3.164552617818117e-05,0.016666666666666666,120
HILL_CLIMBING,shipping_discount,100.0,100.0,93.08,94.08666666666667,34.5,0.00015189421363173214,6.612553261220455e-05,0.0,150
HILL_CLIMBING,sign_type,100.0,100.0,33.27777777777778,34.27777777777778,11.0,4.044305274469339e-05,1.6686972230672836e-05,0.0,90
HILL_CLIMBING,string_category,83.33333333333334,83.33333333333334,143.48666666666668,1490.88,19.0,0.002259498309188821,3.362499410286546e-05,0.16666666666666666,150
HILL_CLIMBING,username_category,83.33333333333334,83.33333333333334,24.83888888888889,1370.7611111111112,24.5,0.0032810895703732842,5.045795114710927e-05,0.16666666666666666,180
GA_FIXED,bmi_category,74.66666666666667,74.66666666666667,27.706666666666667,3283.733333333333,2000.0,0.014596540568551634,0.008731416484806648,0.00041546935184185574,150
GA_FIXED,number_kind,100.0,100.0,2.6777777777777776,294.22222222222223,80.0,0.0008761528103301757,5.235453136265278e-05,0.0,90
GA_FIXED,password_strength,85.83333333333333,85.83333333333333,3.5,1493.3333333333333,80.0,0.006434924981052316,0.0001896455069072,0.14166666666666666,120
GA_FIXED,shipping_discount,100.0,100.0,6.433333333333334,594.6666666666666,80.0,0.0026034408761188266,7.824995554983616e-05,0.0,150
GA_FIXED,sign_type,100.0,100.0,2.411111111111111,272.8888888888889,80.0,0.0007772735940913188,5.293742287904024e-05,0.0,90
GA_FIXED,string_category,80.0,80.0,0.013333333333333334,1681.0666666666666,80.0,0.0064436319113398135,0.0001547499559819,0.2,150
GA_FIXED,username_category,83.33333333333334,83.33333333333334,0.0,1413.3333333333333,80.0,0.006590729657586406,0.0001866669626906,0.16666666666666666,180
GA_ADAPTIVE,bmi_category,78.66666666666666,78.66666666666666,26.086666666666666,3089.6,1480.0,0.015098387445323129,0.0066682499600574,0.00015882863582643617,150
GA_ADAPTIVE,number_kind,100.0,100.0,2.7333333333333334,298.6666666666667,80.0,0.0008845304940930514,5.106255412101746e-05,0.0,90
GA_ADAPTIVE,password_strength,95.83333333333334,95.83333333333334,8.358333333333333,1082.0,80.0,0.004867431677606217,0.00018556293798605,0.041666666666666664,120
GA_ADAPTIVE,shipping_discount,100.0,100.0,6.546666666666667,603.7333333333333,80.0,0.002628025312442317,7.916701724752784e-05,0.0,150
GA_ADAPTIVE,sign_type,100.0,100.0,2.7111111111111112,296.8888888888889,80.0,0.000866155072839709,5.2312505431473255e-05,0.0,90
GA_ADAPTIVE,string_category,80.66666666666666,80.66666666666666,0.35333333333333333,1654.9333333333334,80.0,0.006832789684801003,0.0001550000160932,0.19333333333333333,150
GA_ADAPTIVE,username_category,83.33333333333334,83.33333333333334,0.0,1413.3333333333333,80.0,0.00710700738709415,0.0001783955376595,0.16666666666666666,180
