method,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,75.48387096774194,75.48387096774194,0.0,285.8827956989247,7.0,0.0003318565861341847,1.4396035112440586e-05,1.5529597797334984,930
HILL_CLIMBING,90.43010752688173,90.43010752688173,348.68709677419355,973.9956989247312,26.0,0.0016106713350401447,4.845898365601897e-05,0.06155480224520873,930
GA_FIXED,87.63440860215054,87.63440860215054,6.452688172043011,1417.8064516129032,80.0,0.006079433027840115,0.00015677046030754998,0.08286271011051213,930
GA_ADAPTIVE,89.6774193548387,89.6774193548387,6.925806451612903,1333.4193548387098,80.0,0.006134188385374848,0.00015706248814235,0.06884282182298276,930
