model,method,function_name,actual_success_rate,total_runs
openai_gpt_oss_120b,GA_ADAPTIVE,bmi_category,100.0,150
openai_gpt_oss_120b,GA_ADAPTIVE,list_pattern,100.0,150
openai_gpt_oss_120b,GA_ADAPTIVE,number_kind,100.0,90
openai_gpt_oss_120b,GA_ADAPTIVE,password_strength,91.66666666666666,120
openai_gpt_oss_120b,GA_ADAPTIVE,pin_pattern,75.0,120
openai_gpt_oss_120b,GA_ADAPTIVE,sign_type,100.0,90
openai_gpt_oss_120b,GA_ADAPTIVE,string_category,74.66666666666667,150
openai_gpt_oss_120b,GA_ADAPTIVE,transaction_pattern,95.0,180
openai_gpt_oss_120b,GA_ADAPTIVE,username_category,77.22222222222223,180
openai_gpt_oss_120b,GA_FIXED,bmi_category,100.0,150
openai_gpt_oss_120b,GA_FIXED,list_pattern,100.0,150
openai_gpt_oss_120b,GA_FIXED,number_kind,100.0,90
openai_gpt_oss_120b,GA_FIXED,password_strength,85.83333333333333,120
openai_gpt_oss_120b,GA_FIXED,pin_pattern,100.0,120
openai_gpt_oss_120b,GA_FIXED,sign_type,100.0,90
openai_gpt_oss_120b,GA_FIXED,string_category,75.33333333333333,150
openai_gpt_oss_120b,GA_FIXED,transaction_pattern,96.66666666666667,180
openai_gpt_oss_120b,GA_FIXED,username_category,80.0,180
openai_gpt_oss_120b,HILL_CLIMBING,bmi_category,100.0,150
openai_gpt_oss_120b,HILL_CLIMBING,list_pattern,100.0,150
openai_gpt_oss_120b,HILL_CLIMBING,number_kind,100.0,90
openai_gpt_oss_120b,HILL_CLIMBING,password_strength,99.16666666666667,120
openai_gpt_oss_120b,HILL_CLIMBING,pin_pattern,53.333333333333336,120
openai_gpt_oss_120b,HILL_CLIMBING,sign_type,100.0,90
openai_gpt_oss_120b,HILL_CLIMBING,string_category,83.33333333333334,150
openai_gpt_oss_120b,HILL_CLIMBING,transaction_pattern,93.33333333333333,180
openai_gpt_oss_120b,HILL_CLIMBING,username_category,75.55555555555556,180
openai_gpt_oss_120b,RANDOM,bmi_category,50.66666666666667,150
openai_gpt_oss_120b,RANDOM,list_pattern,97.33333333333334,150
openai_gpt_oss_120b,RANDOM,number_kind,81.11111111111111,90
openai_gpt_oss_120b,RANDOM,password_strength,83.33333333333334,120
openai_gpt_oss_120b,RANDOM,pin_pattern,25.0,120
openai_gpt_oss_120b,RANDOM,sign_type,78.88888888888889,90
openai_gpt_oss_120b,RANDOM,string_category,71.33333333333334,150
openai_gpt_oss_120b,RANDOM,transaction_pattern,96.11111111111111,180
openai_gpt_oss_120b,RANDOM,username_category,78.88888888888889,180
