method,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,77.07317073170732,77.07317073170732,0.0,272.07560975609755,7.0,0.00039958966814540115,1.618696842342615e-05,28.445428903248832,1230
HILL_CLIMBING,90.97560975609757,90.97560975609757,262.51382113821137,887.8918699186992,22.0,0.001970069756356572,5.170854274183512e-05,0.16016260162601625,1230
GA_FIXED,94.14634146341463,94.14634146341463,6.564227642276423,1073.4308943089432,80.0,0.004969536879088505,0.0001806250074878,0.05853658536585366,1230
GA_ADAPTIVE,92.27642276422763,92.27642276422763,6.14390243902439,1114.9268292682927,80.0,0.005415321710969967,0.00017964548896995,0.08292682926829269,1230
