method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
RANDOM,bmi_category,invalid_height,0,False,False,"[993.0294615572111, 8.399088729839077]",8.399089729839076,,0,1000,0.0008976249955594
RANDOM,bmi_category,invalid_height,1,False,False,"[2078.4605054333715, 7.828319933114725]",7.828320933114725,,0,1000,0.000874624995049
RANDOM,bmi_category,invalid_height,2,False,False,"[2276.431513045696, 1.4260543567798933]",1.4260553567798933,,0,1000,0.0008781249925959
RANDOM,bmi_category,invalid_height,3,False,False,"[239.34893439283744, 1.488576901045091]",1.488577901045091,,0,1000,0.0008735000010346
RANDOM,bmi_category,invalid_height,4,False,False,"[2740.7842828293888, 0.6895683668849406]",0.6895693668849406,,0,1000,0.0008124580053845
RANDOM,bmi_category,invalid_height,5,False,False,"[2579.096863350956, 3.8166972347111194]",3.81669823471112,,0,1000,0.0008129169873427
RANDOM,bmi_category,invalid_height,6,False,False,"[439.39295075617855, 0.874188128072384]",0.874189128072384,,0,1000,0.0008112909999908
RANDOM,bmi_category,invalid_height,7,False,False,"[551.5170342368086, 0.27586675902468993]",0.2758677590246899,,0,1000,0.0008210000087274
RANDOM,bmi_category,invalid_height,8,False,False,"[2105.275729123387, 0.4636737988308326]",0.4636747988308325,,0,1000,0.0008104580047074
RANDOM,bmi_category,invalid_height,9,False,False,"[2144.386919378535, 6.626837874950997]",6.626838874950997,,0,1000,0.0008240830065915
RANDOM,bmi_category,invalid_height,10,False,False,"[804.5419107448377, 0.93210497890861]",0.93210597890861,,0,1000,0.0008194169931812
RANDOM,bmi_category,invalid_height,11,False,False,"[1038.0099072646847, 0.7462416932271232]",0.7462426932271232,,0,1000,0.0007892909925431
RANDOM,bmi_category,invalid_height,12,False,False,"[1739.264517469287, 1.3869806766244608]",1.3869816766244607,,0,1000,0.0007788329967297
RANDOM,bmi_category,invalid_height,13,False,False,"[2485.125753743027, 4.619737747043939]",4.6197387470439395,,0,1000,0.0007846670050639
RANDOM,bmi_category,invalid_height,14,False,False,"[2666.490615110154, 3.29125890237425]",3.29125990237425,,0,1000,0.0007797500002197
RANDOM,bmi_category,invalid_height,15,False,False,"[67.12415195731137, 0.8126795072264104]",0.8126805072264104,,0,1000,0.0007827500085113
RANDOM,bmi_category,invalid_height,16,False,False,"[2558.8397497228584, 3.1076313347864204]",3.1076323347864205,,0,1000,0.0007760000007692
RANDOM,bmi_category,invalid_height,17,False,False,"[2031.3092585733234, 6.08566383248188]",6.08566483248188,,0,1000,0.0007804170018061
RANDOM,bmi_category,invalid_height,18,False,False,"[2204.3010741729745, 1.1780693188581104]",1.1780703188581103,,0,1000,0.0007729999924777
