method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
GA_FIXED,bmi_category,invalid_height,0,True,True,"[641.7039923696487, 0.0]",0.0,invalid_height,37,3040,0.015094458009116352
GA_FIXED,bmi_category,invalid_height,1,True,True,"[2041.08551734808, 0.0]",0.0,invalid_height,25,2080,0.00956991700513754
GA_FIXED,bmi_category,invalid_height,2,True,True,"[1981.3947909308445, 0.0]",0.0,invalid_height,30,2480,0.010857916990062222
GA_FIXED,bmi_category,invalid_height,3,True,True,"[867.0154052306472, 0.0]",0.0,invalid_height,11,960,0.003984125010902062
GA_FIXED,bmi_category,invalid_height,4,True,True,"[119.02466645692827, 0.0]",0.0,invalid_height,24,2000,0.008302915986860171
GA_FIXED,bmi_category,invalid_height,5,True,True,"[2090.258010897024, 0.0]",0.0,invalid_height,61,4960,0.020640583999920636
GA_FIXED,bmi_category,invalid_height,6,True,True,"[1080.4447095434994, 0.0]",0.0,invalid_height,22,1840,0.007704667004873045
GA_FIXED,bmi_category,invalid_height,7,True,True,"[2346.806377936343, 0.0]",0.0,invalid_height,18,1520,0.006156541989184916
GA_FIXED,bmi_category,invalid_height,8,True,True,"[128.68659435712738, 0.0]",0.0,invalid_height,35,2880,0.011882958002388477
GA_FIXED,bmi_category,invalid_height,9,True,True,"[1321.446114871946, 0.0]",0.0,invalid_height,2,240,0.0007425830117426813
GA_FIXED,bmi_category,invalid_height,10,True,True,"[2456.3510999277073, 0.0]",0.0,invalid_height,6,560,0.0020917499932693318
GA_FIXED,bmi_category,invalid_height,11,True,True,"[2449.9706704442524, 0.0]",0.0,invalid_height,14,1200,0.00479133399494458
GA_FIXED,bmi_category,invalid_height,12,True,True,"[678.2029603972871, 0.0]",0.0,invalid_height,12,1040,0.0041733329999260604
GA_FIXED,bmi_category,invalid_height,13,True,True,"[2022.9985950392092, 0.0]",0.0,invalid_height,40,3280,0.013721874987822957
GA_FIXED,bmi_category,invalid_height,14,True,True,"[1783.035418253532, 0.0]",0.0,invalid_height,3,320,0.0011195840052096173
GA_FIXED,bmi_category,invalid_height,15,True,True,"[485.3247069551394, 0.0]",0.0,invalid_height,10,880,0.003715625003678724
GA_FIXED,bmi_category,invalid_height,16,True,True,"[771.0993358175532, 0.0]",0.0,invalid_height,37,3040,0.012825249999877997
GA_FIXED,bmi_category,invalid_height,17,True,True,"[2391.264458339637, 0.0]",0.0,invalid_height,26,2160,0.008939125007600524
GA_FIXED,bmi_category,invalid_height,18,True,True,"[1089.1816707141425, 0.0]",0.0,invalid_height,36,2960,0.012475666997488588
GA_FIXED,bmi_category,invalid_height,19,True,True,"[1387.4422399739688, 0.0]",0.0,invalid_height,45,3680,0.015815334001672454
GA_FIXED,bmi_category,invalid_height,20,True,True,"[1065.5904265668082, 0.0]",0.0,invalid_height,32,2640,0.01090058300178498
GA_FIXED,bmi_category,invalid_height,21,True,True,"[1199.553467042607, 0.0]",0.0,invalid_height,18,1520,0.00613416699343361
GA_FIXED,bmi_category,invalid_height,22,True,True,"[1281.6070863921634, 0.0]",0.0,invalid_height,8,720,0.0028505829977802932
GA_FIXED,bmi_category,invalid_height,23,True,True,"[2693.5632664187824, 0.0]",0.0,invalid_height,24,2000,0.008133875002386048
GA_FIXED,bmi_category,invalid_height,24,True,True,"[1484.3269454394585, 0.0]",0.0,invalid_height,27,2240,0.009210541989887133
GA_FIXED,bmi_category,invalid_height,25,True,True,"[2595.982998546485, 0.0]",0.0,invalid_height,33,2720,0.011214709011255763
