model,GA_ADAPTIVE,GA_FIXED,HILL_CLIMBING,RANDOM,total_runs_all_methods
GPT-OSS-120B,89.59349593495935,92.19512195121952,88.78048780487805,74.63414634146342,4920
GPT-OSS-20B,93.03030303030305,90.9090909090909,93.33333333333331,78.78787878787878,1320
Gemini 2.5 Flash,92.2875816993464,93.59477124183006,90.98039215686276,75.22875816993464,6120
Llama 3.3 70B,82.04301075268818,79.03225806451613,85.05376344086022,71.61290322580646,3720
Llama 4 Scout,80.33333333333333,81.33333333333333,78.55555555555556,69.0,3600
Qwen3-32B,93.015873015873,93.17460317460318,94.76190476190476,81.42857142857143,2520
