method,function_name,target,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,bmi_category,invalid_height,0.0,0.0,0.0,1000.0,1000.0,0.0006829639625114167,0.00066262501059095,0.10296931067961265,30
RANDOM,bmi_category,normal,100.0,100.0,0.0,108.36666666666666,90.5,7.440129993481973e-05,6.275047780945897e-05,0.0,30
RANDOM,bmi_category,obese,100.0,100.0,0.0,1.0333333333333334,1.0,1.833428783963124e-06,1.750071533024311e-06,0.0,30
RANDOM,bmi_category,overweight,100.0,100.0,0.0,217.33333333333334,180.5,0.00014734858802205355,0.00012091652024530001,0.0,30
RANDOM,bmi_category,underweight,100.0,100.0,0.0,48.8,35.0,3.340140683576338e-05,2.5062006898224354e-05,0.0,30
RANDOM,list_pattern,sorted_unique,100.0,100.0,0.0,12.666666666666666,8.0,2.3952782309303682e-05,1.5458499547094107e-05,0.0,30
RANDOM,list_pattern,sorted_with_duplicates,83.33333333333334,83.33333333333334,0.0,463.0,419.5,0.0007502306407938033,0.0007085204706527,0.16666666666666666,30
RANDOM,list_pattern,too_short,100.0,100.0,0.0,3.3,2.0,8.143139226982992e-06,4.645960871130228e-06,0.0,30
RANDOM,list_pattern,unsorted_unique,100.0,100.0,0.0,1.6666666666666667,1.5,4.409711497525374e-06,4.187517333775759e-06,0.0,30
RANDOM,list_pattern,unsorted_with_duplicates,100.0,100.0,0.0,25.2,17.5,4.787486977874439e-05,3.743753768503666e-05,0.0,30
RANDOM,number_kind,even,100.0,100.0,0.0,2.0,1.0,2.3471928822497527e-06,1.8749851733446121e-06,0.0,30
RANDOM,number_kind,odd,100.0,100.0,0.0,1.8666666666666667,1.5,2.402796720465024e-06,2.104497980326414e-06,0.0,30
RANDOM,number_kind,zero,43.333333333333336,43.333333333333336,0.0,781.4333333333333,1000.0,0.00039596803641563175,0.0004942080704495001,1.1666666666666667,30
RANDOM,sign_type,negative,100.0,100.0,0.0,7.566666666666666,4.5,6.077811121940613e-06,4.333502147346735e-06,0.0,30
RANDOM,sign_type,positive,100.0,100.0,0.0,1.0666666666666667,1.0,1.7222870762149494e-06,1.6669509932398796e-06,0.0,30
RANDOM,sign_type,zero,30.0,30.0,0.0,863.6,1000.0,0.0004884930327534309,0.00056079146452245,1.5666666666666667,30
RANDOM,string_category,empty,100.0,100.0,0.0,24.033333333333335,14.0,5.4111056185008744e-05,3.404199378564954e-05,0.0,30
RANDOM,string_category,long_non_palindrome,100.0,100.0,0.0,1.2333333333333334,1.0,4.481978248804808e-06,4.458008334040642e-06,0.0,30
RANDOM,string_category,long_palindrome,0.0,0.0,0.0,1000.0,1000.0,0.00239498749142507,0.00240112497704095,1.0,30
RANDOM,string_category,other,100.0,100.0,0.0,5.6,3.5,1.5497273610283933e-05,9.832961950451136e-06,0.0,30
RANDOM,string_category,short_palindrome,100.0,100.0,0.0,7.433333333333334,4.5,2.045823105921348e-05,1.2542004697024822e-05,0.0,30
HILL_CLIMBING,bmi_category,invalid_height,0.0,0.0,7.166666666666667,8091.0,8091.0,0.00968463607520481,0.00973341701319435,0.1,30
HILL_CLIMBING,bmi_category,normal,100.0,100.0,72.7,73.7,46.0,0.00010275546228511182,7.099949289113283e-05,0.0,30
HILL_CLIMBING,bmi_category,obese,100.0,100.0,0.03333333333333333,1.0333333333333334,1.0,2.7596601285040378e-06,2.7085188776254654e-06,0.0,30
HILL_CLIMBING,bmi_category,overweight,100.0,100.0,89.43333333333334,90.43333333333334,52.5,0.00012101810425517666,7.24999699741602e-05,0.0,30
HILL_CLIMBING,bmi_category,underweight,100.0,100.0,80.7,81.7,37.0,0.00010875269848230934,5.881255492568016e-05,0.0,30
HILL_CLIMBING,list_pattern,sorted_unique,100.0,100.0,40.8,41.8,22.5,0.00010905131154381764,5.9749523643404245e-05,0.0,30
HILL_CLIMBING,list_pattern,sorted_with_duplicates,100.0,100.0,706.4666666666667,707.4666666666667,307.0,0.0016122194395089748,0.0007062500226311,0.0,30
HILL_CLIMBING,list_pattern,too_short,100.0,100.0,11.966666666666667,12.966666666666667,14.0,3.4315270992616814e-05,3.466650377959013e-05,0.0,30
HILL_CLIMBING,list_pattern,unsorted_unique,100.0,100.0,1.0,2.0,1.0,7.441566170503696e-06,6.187008693814278e-06,0.0,30
HILL_CLIMBING,list_pattern,unsorted_with_duplicates,100.0,100.0,108.66666666666667,109.66666666666667,83.5,0.0002671944404330998,0.0002062915591523,0.0,30
HILL_CLIMBING,number_kind,even,100.0,100.0,0.43333333333333335,1.4333333333333333,1.0,3.2624035763243833e-06,2.416549250483513e-06,0.0,30
HILL_CLIMBING,number_kind,odd,100.0,100.0,0.5,1.5,1.0,3.3306578795115155e-06,2.4170149117708206e-06,0.0,30
HILL_CLIMBING,number_kind,zero,100.0,100.0,83.06666666666666,84.06666666666666,74.0,9.343469670661943e-05,8.852093014866114e-05,0.0,30
HILL_CLIMBING,sign_type,negative,100.0,100.0,21.733333333333334,22.733333333333334,15.0,3.0005490407347504e-05,2.1750049199908972e-05,0.0,30
HILL_CLIMBING,sign_type,positive,100.0,100.0,0.6,1.6,1.0,3.4208952759703e-06,2.312473952770233e-06,0.0,30
HILL_CLIMBING,sign_type,zero,100.0,100.0,79.46666666666667,80.46666666666667,83.5,9.322356587894623e-05,9.450002107769251e-05,0.0,30
HILL_CLIMBING,string_category,empty,100.0,100.0,493.6,494.6,270.0,0.0007380762874769251,0.0004092914750799,0.0,30
HILL_CLIMBING,string_category,long_non_palindrome,100.0,100.0,3.966666666666667,4.966666666666667,1.0,1.2612470891326666e-05,5.895504727959633e-06,0.0,30
HILL_CLIMBING,string_category,long_palindrome,100.0,100.0,866.9666666666667,868.7666666666667,779.0,0.001162841698775647,0.00104504148475825,0.0,30
HILL_CLIMBING,string_category,other,100.0,100.0,210.56666666666666,211.56666666666666,61.0,0.00036152926816913276,0.0001107709831558,0.0,30
HILL_CLIMBING,string_category,short_palindrome,100.0,100.0,26.7,27.7,28.0,5.8468066466344035e-05,6.066699279472232e-05,0.0,30
GA_FIXED,bmi_category,invalid_height,0.0,0.0,1.0666666666666667,8080.0,8080.0,0.03532321803116545,0.03526643750956275,0.1,30
GA_FIXED,bmi_category,normal,100.0,100.0,0.8666666666666667,149.33333333333334,160.0,0.00037351107457650527,0.00041793804848565003,0.0,30
GA_FIXED,bmi_category,obese,100.0,100.0,0.0,80.0,80.0,5.434440293659766e-05,5.43540227226913e-05,0.0,30
GA_FIXED,bmi_category,overweight,100.0,100.0,1.1333333333333333,170.66666666666666,160.0,0.0004693888399439178,0.00042104150634255,0.0,30
GA_FIXED,bmi_category,underweight,100.0,100.0,0.16666666666666666,93.33333333333333,80.0,0.00011394154668474433,5.2999472245574e-05,0.0,30
GA_FIXED,list_pattern,sorted_unique,100.0,100.0,0.0,80.0,80.0,0.00013281925736610334,0.0001333749969489,0.0,30
GA_FIXED,list_pattern,sorted_with_duplicates,93.33333333333333,93.33333333333333,32.266666666666666,3194.6666666666665,2960.0,0.01742416240740562,0.01573408296098925,0.06666666666666667,30
GA_FIXED,list_pattern,too_short,100.0,100.0,0.0,80.0,80.0,0.00012511803458129667,0.00012456253170965,0.0,30
GA_FIXED,list_pattern,unsorted_unique,100.0,100.0,0.0,80.0,80.0,0.00014140977291385334,0.00014241697499525,0.0,30
GA_FIXED,list_pattern,unsorted_with_duplicates,100.0,100.0,0.0,80.0,80.0,0.00014115277056888666,0.00014108401956035,0.0,30
GA_FIXED,number_kind,even,100.0,100.0,0.0,80.0,80.0,5.0840309510628384e-05,5.0896022003144026e-05,0.0,30
GA_FIXED,number_kind,odd,100.0,100.0,0.0,80.0,80.0,5.15820497336487e-05,5.170807708054781e-05,0.0,30
