method,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,83.65079365079366,83.65079365079366,0.0,217.96190476190475,8.0,0.0002457670008186995,1.4020944945514202e-05,0.1906175862228387,630
HILL_CLIMBING,95.23809523809523,95.23809523809523,138.4063492063492,524.3412698412699,26.0,0.000695730930024239,5.318754119798541e-05,0.004761904761904762,630
GA_FIXED,94.6031746031746,94.6031746031746,3.522222222222222,789.2063492063492,80.0,0.0033367808069294314,0.0001479794736951,0.011111111111111112,630
GA_ADAPTIVE,95.23809523809523,95.23809523809523,2.858730158730159,685.7142857142857,80.0,0.002955331675900437,0.0001511250156909,0.004761904761904762,630
