function_name,success_rate,validation_rate,avg_generation,avg_evaluations,avg_runtime,avg_best_fitness,total_runs
bmi_category,100.0,100.0,0.26,100.8,0.00017839182789126143,0.0,150
grade_category,100.0,100.0,0.011111111111111112,80.88888888888889,7.221719457043503e-05,0.0,180
is_leap_year,100.0,100.0,1.0916666666666666,167.33333333333334,0.0005033917647475817,0.0,120
list_pattern,100.0,100.0,0.04,83.2,0.00017278506110106868,0.0,150
list_score,100.0,100.0,0.0,80.0,0.00011895499968275083,0.0,120
loan_eligibility,100.0,100.0,0.0,80.0,0.00011569235939527083,0.0,120
max_of_three,100.0,100.0,0.0,80.0,9.84502852790657e-05,0.0,90
number_kind,100.0,100.0,0.25555555555555554,100.44444444444444,0.00015165214944216446,0.0,90
password_strength,98.33333333333333,98.33333333333333,7.066666666666666,778.6666666666666,0.00476133681368078,0.016666666666666666,120
sign_type,100.0,100.0,0.25555555555555554,100.44444444444444,0.0001478512254026137,0.0,90
string_category,84.66666666666667,84.66666666666667,2.2333333333333334,1485.3333333333333,0.008949675820767833,0.15333333333333332,150
triangle_type,99.33333333333333,99.33333333333333,2.9266666666666667,361.06666666666666,0.0021334823966025914,0.006666666666666667,150
